visit_id,company_id,company_name,event_id,visit_date,visit_type,roles_recruiting,majors_targeted,recruiter_count_mock,vt_alumni_attending,on_campus_interviews
RV0001,CO001,Deloitte,EV0008,2026-09-08,coffee_chat,CP10|CP08,BIT|CMDA|CPE|CS|ISE,5,true,true
RV0002,CO001,Deloitte,EV0009,2026-10-21,coffee_chat,CP07,BIT|ECON|FIN|ISE|MGT,7,false,false
RV0003,CO001,Deloitte,EV0010,2026-12-10,coffee_chat,CP09,ACIS|FIN,4,true,false
RV0004,CO001,Deloitte,EV0011,2026-11-04,technical_workshop,CP09,ACIS|FIN,3,true,false
RV0005,CO001,Deloitte,EV0001,2026-09-29,career_fair_booth,CP10,BIT|CPE|CS,8,true,true
RV0006,CO001,Deloitte,EV0002,2026-09-30,career_fair_booth,CP07|CP08|CP09,ACIS|BIT|CMDA|CS|ECON|FIN|ISE|MGT,2,true,false
RV0007,CO001,Deloitte,EV0003,2026-09-16,career_fair_booth,CP07|CP08|CP09,ACIS|BIT|CMDA|CS|ECON|FIN|ISE|MGT,4,true,true
RV0008,CO002,Databricks,EV0012,2026-09-25,technical_workshop,CP03,CMDA|CPE|CS,7,true,false
RV0009,CO002,Databricks,EV0013,2026-09-23,info_session,CP01,CMDA|CPE|CS|MATH,2,true,false
RV0010,CO002,Databricks,EV0014,2026-11-09,networking,CP03|CP02,CMDA|CPE|CS|ECON|MATH|STAT,1,true,false
RV0011,CO002,Databricks,EV0001,2026-09-29,career_fair_booth,CP01|CP02|CP03,CMDA|CPE|CS|ECON|MATH|STAT,9,true,false
RV0012,CO003,Accenture,EV0015,2026-10-08,networking,CP07|CP01,BIT|CMDA|CPE|CS|ECON|FIN|ISE|MATH|MGT,1,true,false
RV0013,CO003,Accenture,EV0016,2026-10-01,technical_workshop,CP01|CP08,BIT|CMDA|CPE|CS|ISE|MATH,6,false,true
RV0014,CO003,Accenture,EV0001,2026-09-29,career_fair_booth,CP01,CMDA|CPE|CS|MATH,7,true,true
