club_id,club_name,category,career_paths,majors,skills_developed,description,meeting_day,meeting_time,members_mock,application_required,gobblerconnect_url
CL001,COINS,Finance,CP04|CP05,FIN|ECON|ACIS,DCF Valuation|Excel Modeling|Financial Modeling|Financial Statement Analysis|LBO Modeling|Statistics,Student investment group focused on equity research and markets.,Tuesday,19:30,142,true,https://gobblerconnect.vt.edu/
CL002,SEED (Student-managed Endowment for Educational Development),Finance,CP04|CP05|CP06,FIN|ECON,C/C++|DCF Valuation|Excel Modeling|Financial Modeling|Financial Statement Analysis|LBO Modeling|Python|Statistics,Student-managed portion of the university endowment.,Thursday,19:30,304,false,https://gobblerconnect.vt.edu/
CL003,Investment Banking Club,Finance,CP04,FIN|ACIS|ECON,DCF Valuation|Financial Modeling|LBO Modeling,"Technical interview prep, modeling workshops, and banker networking.",Thursday,19:00,305,false,https://gobblerconnect.vt.edu/
CL004,Quantitative Finance Society,Finance,CP06|CP05,MATH|STAT|CS|CMDA|FIN,C/C++|Excel Modeling|Financial Statement Analysis|Python|Statistics,"Quant research, trading competitions, and probability puzzles.",Thursday,19:30,246,true,https://gobblerconnect.vt.edu/
CL005,Beta Alpha Psi,Accounting,CP09,ACIS|FIN,Accounting Fundamentals|Auditing|Excel Modeling,Honor society for accounting and finance students.,Wednesday,19:00,29,true,https://gobblerconnect.vt.edu/
CL006,Alpha Kappa Psi,Business,CP07|CP04|CP14,FIN|MGT|MKTG|BIT|ACIS,Business Strategy|Case Interviewing|DCF Valuation|Data Visualization|Digital Marketing|Financial Modeling|LBO Modeling|Market Research|Market Sizing,Co-ed professional business fraternity.,Tuesday,19:30,292,false,https://gobblerconnect.vt.edu/
CL007,Delta Sigma Pi,Business,CP07|CP14|CP09,FIN|MGT|MKTG|ACIS,Accounting Fundamentals|Auditing|Business Strategy|Case Interviewing|Data Visualization|Digital Marketing|Excel Modeling|Market Research|Market Sizing,Professional business fraternity.,Wednesday,18:30,158,false,https://gobblerconnect.vt.edu/
CL008,VT Consulting Group,Consulting,CP07|CP08,MGT|FIN|ECON|BIT|ISE,Business Strategy|Case Interviewing|Cloud (AWS/Azure/GCP)|Market Sizing|SQL|Spark / Databricks,Pro-bono consulting projects and case interview practice.,Thursday,19:30,286,false,https://gobblerconnect.vt.edu/
CL009,Product Management Club,Product,CP11,CS|BIT|MGT|ID,Product Roadmapping|SQL|User Research,"PM case practice, product teardowns, and PM speaker series.",Thursday,18:00,173,false,https://gobblerconnect.vt.edu/
CL010,Marketing Association,Marketing,CP14,MKTG|COMM|MGT,Data Visualization|Digital Marketing|Market Research,Brand challenges and agency visits.,Thursday,18:00,249,false,https://gobblerconnect.vt.edu/
CL011,Supply Chain Club,Operations,CP13,ISE|MGT|BIT,Excel Modeling|SQL|Supply Chain Analytics,Plant tours and supply chain case competitions.,Wednesday,19:30,118,false,https://gobblerconnect.vt.edu/
CL012,Entrepreneurship Club,Entrepreneurship,CP11|CP07,MGT|CS|BIT|ID,Business Strategy|Case Interviewing|Market Sizing|Product Roadmapping|SQL|User Research,"Founder talks, pitch nights, and startup building.",Thursday,18:00,161,false,https://gobblerconnect.vt.edu/
CL013,ACM at Virginia Tech,Computing,CP01|CP03,CS|CPE|CMDA,Data Structures & Algorithms|Deep Learning|Java|Machine Learning|Python,"Programming contests, tech talks, and interview prep.",Wednesday,18:00,124,false,https://gobblerconnect.vt.edu/
CL014,VTHacks,Computing,CP01|CP03|CP11,CS|CPE|CMDA|EE,Data Structures & Algorithms|Deep Learning|Java|Machine Learning|Product Roadmapping|Python|SQL|User Research,Organizes Virginia Tech's major hackathon.,Thursday,18:30,255,true,https://gobblerconnect.vt.edu/
CL015,Cyber@VT,Security,CP10,CS|CPE|BIT,Linux|Network Security|Penetration Testing,Capture-the-flag competitions and security labs.,Monday,18:00,256,false,https://gobblerconnect.vt.edu/
CL016,Data Science Club,Data,CP02|CP03,CMDA|STAT|CS|MATH,Deep Learning|Machine Learning|Python|SQL|Statistics,"Kaggle nights, ML reading group, and Databricks workshops.",Monday,18:30,151,true,https://gobblerconnect.vt.edu/
CL017,Machine Learning @ VT,Data,CP03|CP02,CS|CMDA|CPE,Deep Learning|Machine Learning|Python|SQL|Statistics,Paper reading and applied ML projects.,Monday,19:00,207,true,https://gobblerconnect.vt.edu/
CL018,Women in Computing,Computing,CP01|CP11|CP02,CS|CPE|CMDA,Data Structures & Algorithms|Java|Product Roadmapping|Python|SQL|Statistics|User Research,"Community, mentorship, and GHC travel support.",Monday,19:00,319,false,https://gobblerconnect.vt.edu/
CL019,UX Design Club,Design,CP12|CP11,ID|CS|COMM,Figma|JavaScript|Product Roadmapping|SQL|User Research,"Design critiques, Figma workshops, and portfolio reviews.",Tuesday,18:30,267,false,https://gobblerconnect.vt.edu/
CL020,IEEE Student Branch,Engineering,CP16|CP01,EE|CPE,C/C++|Circuit Design|Data Structures & Algorithms|Embedded Systems|Java|Python,Hardware projects and industry nights.,Tuesday,19:00,68,false,https://gobblerconnect.vt.edu/
CL021,ASME Student Section,Engineering,CP15,ME|ISE,CAD (SolidWorks)|MATLAB|Structural Analysis,Design competitions and plant tours.,Tuesday,18:30,181,false,https://gobblerconnect.vt.edu/
CL022,ASCE Student Chapter,Engineering,CP17,CEE,CAD (SolidWorks)|Project Management|Structural Analysis,"Steel bridge, concrete canoe, and site visits.",Thursday,19:30,101,false,https://gobblerconnect.vt.edu/
CL023,Biomedical Engineering Society,Engineering,CP18,BME|BIO,Lab Research Methods|MATLAB|Statistics,Research panels and med-device talks.,Tuesday,19:30,32,true,https://gobblerconnect.vt.edu/
CL024,Society of Women Engineers,Engineering,CP15|CP16|CP01|CP17,ME|EE|CPE|CEE|ISE|BME|CS,C/C++|CAD (SolidWorks)|Circuit Design|Data Structures & Algorithms|Embedded Systems|Java|MATLAB|Project Management|Python|Structural Analysis,Professional development for women in engineering.,Thursday,18:00,51,false,https://gobblerconnect.vt.edu/
